ticker,DropDate,Close,PctChange,up_10.0%_from_drop_date,price_at_up,Days_to_be_up_10.0%_from_drop
AAL,2020-02-28,19.05,-22.43%,2021-02-24,21.81999969482422,362
AAL,2020-03-02,18.86,-25.08%,2021-02-24,21.81999969482422,359
AAL,2020-03-03,17.85,-25.94%,2020-06-08,20.309999465942383,97
AAL,2020-03-04,18.53,-25.41%,2021-02-22,20.440000534057617,355
AAL,2020-03-05,16.04,-24.28%,2020-06-05,18.59000015258789,92
AAL,2020-03-06,15.97,-21.06%,2020-06-05,18.59000015258789,91
AAL,2020-03-09,14.75,-20.01%,2020-03-10,17.0,1
AAL,2020-03-23,10.25,-24.42%,2020-03-24,13.920000076293945,1
AAL,2020-03-24,13.92,-25.2%,2020-03-25,15.390000343322754,1
AAL,2020-04-03,9.39,-21.2%,2020-04-08,11.329999923706055,5
AAL,2020-04-06,9.5,-27.27%,2020-04-08,11.329999923706055,2
AAL,2020-04-07,10.22,-28.29%,2020-04-08,11.329999923706055,1
AAL,2020-04-08,11.33,-22.1%,2020-04-09,12.510000228881836,1
AAP,2020-03-18,79.1,-21.5%,2020-04-07,88.88558197021484,20
AAP,2020-03-19,76.85,-22.94%,2020-03-26,86.81181335449219,7
AAP,2020-03-20,67.07,-27.42%,2020-03-24,77.21173858642578,4
AAP,2020-03-23,70.17,-25.87%,2020-03-24,77.21173858642578,1
AAP,2020-03-24,77.21,-23.61%,2020-03-26,86.81181335449219,2
AAP,2023-06-02,64.65,-25.44%,2023-07-31,71.43842315673828,59
AAP,2023-06-05,62.77,-32.85%,2023-07-19,69.56580352783203,44
AAP,2023-06-06,63.22,-40.11%,2023-07-19,69.56580352783203,43
AAP,2023-06-07,62.72,-36.5%,2023-07-19,69.56580352783203,42
AAP,2023-06-08,61.95,-30.91%,2023-07-19,69.56580352783203,41
AAP,2023-06-09,60.84,-24.79%,2023-06-14,67.17646026611328,5
ADBE,2022-09-21,286.3,-22.6%,2022-10-24,316.2200012207031,33
ADBE,2022-09-22,287.06,-20.66%,2022-10-24,316.2200012207031,32
ADM,2024-01-25,48.13,-20.12%,2024-02-01,53.170135498046875,7
ADM,2024-01-26,48.76,-24.51%,2024-03-12,53.96611404418945,46
AES,2020-03-13,10.66,-20.57%,2020-04-09,12.072789192199707,27
AES,2020-03-16,9.01,-21.41%,2020-03-24,10.383255958557129,8
AES,2020-03-17,9.48,-23.75%,2020-03-25,10.514480590820312,8
AES,2020-03-18,7.84,-26.08%,2020-03-19,9.01358413696289,1
AES,2020-03-19,9.01,-23.1%,2020-03-24,10.383255958557129,5
AES,2020-03-20,9.74,-20.48%,2020-03-26,11.072192192077637,6
AFL,2020-03-17,26.39,-20.39%,2020-03-25,32.14973068237305,8
AFL,2020-03-18,22.12,-23.25%,2020-03-24,25.479951858520508,6
AFL,2020-03-19,23.55,-21.48%,2020-03-25,32.14973068237305,6
AFL,2020-03-20,23.4,-23.25%,2020-03-25,32.14973068237305,5
AFL,2020-03-23,22.49,-21.32%,2020-03-24,25.479951858520508,1
AIG,2020-03-12,22.08,-21.88%,2020-03-13,24.821819305419922,1
AIG,2020-03-13,24.82,-24.6%,2020-05-27,27.44334602355957,75
AIG,2020-03-16,20.25,-25.47%,2020-03-25,22.400596618652344,9
AIG,2020-03-17,19.38,-29.58%,2020-03-25,22.400596618652344,8
